Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Tax Assessment Year,Tax Assessment Amt,Year Built,Lot Size (Sq.Ft.),Finished (Sq.Ft.),Bathroom,Bedrooms,Total Rooms,Last Sold Date,Months Since Last Sold,Last Sold Price,Zestimate Amount,Zestimate 1-Week Change,Zestimate Minimum,Zestimate Maximum,Zestimate $/Sq.Ft.,RentZestimate Amount,RentZestimate 1-Week Change,RentZestimate Minimum,RentZestimate Maximum,RentZestimate $/Sq.Ft.,Zestimate / Rent Value,Neighborhood,ZPID,Missing Cnt
1450 Isoline St,Pittsburgh,PA,15204,40.455648,-80.072071,SingleFamily,2015,77900,1880,5500,1707,1,3,8,4/30/92,279,12000,86719,1986,74578,95391,50.8,962,15,770,1241,0.56,90.14,Chartiers City,11592640,0
150 Ulysses St,Pittsburgh,PA,15211,40.433564,-80.012606,SingleFamily,2015,73000,1905,2800,1200,1,3,5,5/18/11,50,40000,107069,14208,92079,119917,89.22,1187,38,973,1602,0.99,90.2,Mount Washington,11363439,0
3720 Elberton St,Pittsburgh,PA,15204,40.46046,-80.07491,SingleFamily,2015,78200,1955,6000,1194,1,2,5,5/8/14,14,39000,100393,-637,89350,112440,84.08,1112,30,778,1446,0.93,90.28,Wind Gap,11592199,0
28 S 17th St,Pittsburgh,PA,15203,40.431475,-79.981966,Townhouse,2015,282700,1999,821,1720,2.5,2,6,12/28/07,91,320000,393579,4536,366028,417194,228.83,2374,-41,973,3229,1.38,165.79,Southside Flats,11290476,0
1336 Fairstead Ln,Pittsburgh,PA,15217,40.420497,-79.915708,SingleFamily,2015,299500,2004,3279,1964,2.5,3,7,9/6/12,34,445000,487287,11608,443431,531143,248.11,2696,-96,1995,3235,1.37,180.74,Squirrel Hill South,72261385,0
724 Filbert St,Pittsburgh,PA,15232,40.451899,-79.933525,SingleFamily,2015,335000,1910,2650,1600,3.5,4,5,5/1/06,110,500000,402676,-2590,378515,426837,251.67,2651,-9,1644,3552,1.66,151.9,Shadyside,11528772,0
580 Moorhead Pl,Pittsburgh,PA,15232,40.452507,-79.939056,SingleFamily,2015,418200,1925,4360,2637,4,4,9,9/3/92,274,127500,671537,-7951,637960,705114,254.66,3282,57,2527,4037,1.24,204.61,Shadyside,11528551,0
1700 Grandview Ave APT 802,Pittsburgh,PA,15211,40.440977,-80.024997,Condominium,2015,290200,1817,1411,1411,2,2,6,4/26/00,183,265000,347581,-1768,326726,371912,246.34,2342,-111,1850,3396,1.66,148.41,Duquesne Heights,11585170,0
7100 Card Ln,Pittsburgh,PA,15208,40.448937,-79.904381,SingleFamily,2015,242300,1945,6400,2550,2,4,10,4/8/86,351,75000,396904,15208,377059,424687,155.65,2381,12,1429,2857,0.93,166.7,Point Breeze,11287738,0
316 Poplargrove St,Pittsburgh,PA,15210,40.397266,-79.982162,SingleFamily,2015,73500,1955,6000,1924,2,3,6,,,,77683,3672,68361,97881,40.38,896,0,753,1192,0.47,86.7,Carrick,11554105,2
5825 5th Ave APT 310,Pittsburgh,PA,15232,40.451382,-79.926439,Condominium,2015,102700,1968,594,594,1,1,2,5/3/99,194,45000,117694,-598,103571,128286,198.14,1130,10,870,1559,1.9,104.15,Shadyside,11628940,0
185 1/2 42nd St,Pittsburgh,PA,15201,40.470668,-79.961029,SingleFamily,,,,,,1.5,3,,,,,124254,-7286,111829,136679,,1248,51,936,1572,,99.56,Central Lawrenceville,2106511718,9
3286 Dawson St,Pittsburgh,PA,15213,40.432552,-79.953288,MultiFamily2To4,2015,139300,1900,2799,2540,2,5,9,1/23/12,42,125000,219032,-2712,194938,254077,86.23,1331,53,852,1943,0.52,164.56,Oakland,11420093,0
2688 Crosby Avenue,Pittsburgh,PA,15216,40.40281,-80.03763,SingleFamily,,,1920,3300,1500,1,3,7,,,,,,,,,,,,,,,Banksville,2101725098,15
7 Norton St,Pittsburgh,PA,15211,40.427185,-80.00945,SingleFamily,2015,47500,1880,2200,1152,2,2,5,10/3/12,33,78000,54608,2432,45325,58977,47.4,1132,36,758,1415,0.98,48.24,Mount Washington,11516249,0
1306 Princess Ave,Pittsburgh,PA,15216,40.413875,-80.017814,SingleFamily,2015,76400,1957,3000,1290,1,3,6,,,,65762,75,57871,73653,50.98,976,47,781,1171,0.76,67.38,Beechview,11335958,2
2749 Merwyn Ave,Pittsburgh,PA,15204,40.454689,-80.049914,SingleFamily,2015,41600,1919,7405,1960,1,4,4,3/27/95,244,39000,55001,1099,46201,61601,28.06,878,11,746,1168,0.45,62.64,Sheraden,11483775,0
2830 Spring St,Pittsburgh,PA,15210,40.41537,-79.967994,SingleFamily,2015,33400,1918,5760,1731,,3,6,8/31/09,71,45000,53078,989,48832,58917,30.66,946,3,757,1353,0.55,56.11,Arlington,11309180,1
512 Susanna Ct,Pittsburgh,PA,15207,40.418077,-79.939311,SingleFamily,2015,151700,1960,4300,1440,2,3,6,12/26/13,19,67500,192131,3091,176761,203659,133.42,1465,-29,1055,1875,1.02,131.15,Hazelwood,11545456,0
1962-1964 Waite St,Arlington,PA,15210,40.416954,-79.978179,MultiFamily2To4,,,1953,5227,,2,4,,,,,,,,,,,,,,,,Arlington,2101732927,17
3633 Middletown Rd,Pittsburgh,PA,15204,40.458446,-80.07361,SingleFamily,2015,80300,1950,8900,1423,2,4,5,2/12/15,5,36875,121961,-407,110985,130498,85.71,1205,18,831,1699,0.85,101.21,Wind Gap,11592495,0
1207 Adon St,Pittsburgh,PA,15204,40.452861,-80.061794,MultiFamily2To4,2015,35300,1910,2650,2000,,0,10,12/9/02,151,58500,71059,1495,62532,76744,35.53,804,39,643,1214,0.4,88.38,Sheraden,11483507,1
5452 Northumberland St,Pittsburgh,PA,15217,40.439388,-79.931658,SingleFamily,2015,413300,1960,8712,2115,3,3,6,3/2/92,280,308000,634679,-9607,596598,742574,300.08,3289,-44,2533,4374,1.56,192.97,Squirrel Hill North,11630934,0
6324 Morrowfield Ave,Pittsburgh,PA,15217,40.427102,-79.921921,Condominium,2015,154700,1928,4100,1697,1.5,3,7,4/18/86,351,64000,231613,4209,210768,254774,136.48,1791,5,1343,2185,1.06,129.32,Squirrel Hill South,11635899,0
322 Arlington Ave,Pittsburgh,PA,15203,40.428614,-79.997824,MultiFamily2To4,2015,247400,1880,4140,3225,2.5,6,10,3/24/15,4,71000,341994,-4003,324894,386453,106.04,1692,53,1134,2436,0.52,202.12,Mount Washington,11474210,0
3162 Bohem St,Pittsburgh,PA,15213,40.428859,-79.953454,SingleFamily,2015,85500,1978,1600,1077,2,4,5,2/2/11,53,72500,114928,658,96540,131018,106.71,1227,6,957,1669,1.14,93.67,Oakland,11420227,0
5529 Beacon St,Pittsburgh,PA,15217,40.434173,-79.929494,SingleFamily,2015,260800,1930,4125,2138,2,5,7,5/19/92,278,168500,331714,-4634,311811,348300,155.15,2453,15,1742,2845,1.15,135.23,Squirrel Hill South,11631703,0
1542 Rutherford Ave,Pittsburgh,PA,15216,40.411025,-80.026845,SingleFamily,2015,77600,1960,3000,1176,2,3,6,10/13/09,69,88000,70725,-1019,62238,76383,60.14,1016,44,701,1290,0.86,69.61,Beechview,11445234,0
116 Bigham St,Pittsburgh,PA,15211,40.435448,-80.015025,MultiFamily2To4,2015,108700,1910,2880,2103,,0,12,5/19/10,62,139500,215845,12225,200736,228796,102.64,1105,23,608,2022,0.53,195.33,Mount Washington,11363467,1
3 Shadycourt Dr,Pittsburgh,PA,15232,40.450376,-79.919817,SingleFamily,2015,443600,1958,8250,2888,2.5,2,6,6/15/88,325,460000,703147,1145,667990,738304,243.47,3249,-68,2469,4321,1.13,216.42,Point Breeze,11629051,0
113 Stanton Ct W,Pittsburgh,PA,15201,40.481651,-79.935914,SingleFamily,2015,124400,1940,3850,1720,2,3,6,8/2/83,383,67000,177044,2178,168192,185896,102.93,1382,17,1050,1755,0.8,128.11,Stanton Heights,11615250,0
260 42nd St # 2,Pittsburgh,PA,15201,40.468872,-79.958511,Condominium,,,,,,1,1,,,,,,,,,,,,,,,,Central Lawrenceville,2101742514,19
260 42nd St # 1,Pittsburgh,PA,15201,40.468872,-79.958511,Condominium,,,,,,1,2,,,,,,,,,,,,,,,,Central Lawrenceville,2101742515,19
4601 5th Ave APT 430,Oakland,PA,15213,40.447612,-79.948951,Cooperative,,,,,,1,2,,,,,,,,,,,,,,,,North Oakland,2101744421,19
2401 Glenarm Ave,Pittsburgh,PA,15226,40.39534,-80.015915,SingleFamily,2015,99700,1930,3600,2151,2,5,8,,,,111927,5273,102973,120881,52.03,1120,8,829,1557,0.52,99.93,Brookline,11562563,2
4124 Stanley St,Pittsburgh,PA,15207,40.423811,-79.944159,SingleFamily,2015,119300,1922,2444,1452,2,4,7,10/18/11,45,104000,152381,-5961,144762,166095,104.95,1380,-20,1021,1835,0.95,110.42,Greenfield,11540170,0
3147 Brighton Rd,Pittsburgh,PA,15212,40.474984,-80.030128,MultiFamily2To4,2015,59200,1881,1815,3220,2,5,12,12/22/93,259,4950,90233,763,72186,110987,28.02,879,40,642,1406,0.27,102.65,Marshall - Shadeland,11605934,0
1360 Harlow Dr,Pittsburgh,PA,15204,40.458423,-80.0706,SingleFamily,2015,63000,1965,8712,928,1,3,5,,,,76989,-2800,69290,85458,82.96,887,19,674,1286,0.96,86.8,Chartiers City,11592452,2
3450 Fleming Ave,Pittsburgh,PA,15212,40.47807,-80.038319,MultiFamily2To4,2015,80500,1900,2000,2802,3,4,,3/23/05,124,20000,111262,418,95685,131289,39.71,958,58,584,1494,0.34,116.14,Brighton Heights,11603915,1
1320 Bennington Ave,Pittsburgh,PA,15217,40.442412,-79.932916,SingleFamily,2015,677600,1920,14000,5452,5,7,11,9/19/94,250,700000,952321,-2897,847566,1057076,174.67,3687,182,1401,5346,0.68,258.29,Squirrel Hill North,11533891,0
1712 Fox Way,Pittsburgh,PA,15203,40.43005,-79.981325,SingleFamily,2015,186800,1900,1200,2084,1.5,3,6,5/4/11,50,260000,287110,9520,258399,321563,137.77,2025,20,1640,2774,0.97,141.78,Southside Flats,11290548,0
1729 Warren St,Pittsburgh,PA,15212,40.462146,-80.002896,SingleFamily,2015,39400,1902,2760,2081,2,3,6,3/22/07,100,13500,66931,-1001,60238,74293,32.16,884,47,690,1326,0.42,75.71,Fine View,11387587,0
1003 Flemington St,Pittsburgh,PA,15217,40.427566,-79.930353,SingleFamily,2015,98900,1931,2296,1218,1,2,6,10/5/12,33,57000,115018,932,109267,125370,94.43,1231,-13,1022,1539,1.01,93.43,Greenfield,11635607,0
2025 Veronica St,Pittsburgh,PA,15212,40.468966,-79.980845,SingleFamily,2015,40200,1900,2200,1174,1,2,6,7/3/07,96,16200,45893,-485,41304,51400,39.09,849,17,688,1223,0.72,54.06,Troy Hill,11512076,0
328 Sylvania Ave,Pittsburgh,PA,15210,40.417179,-80.001238,SingleFamily,2015,27800,1910,2562,1855,1,2,8,,,,52646,978,48434,58437,28.38,877,-15,772,1298,0.47,60.03,Beltzhoover,11324557,2
5652 Stanton Ave,Pittsburgh,PA,15206,40.470523,-79.924407,MultiFamily2To4,2015,385100,1915,13446,6000,6,9,19,10/31/02,153,155000,469601,25104,422641,516561,78.27,1751,-43,1208,2732,0.29,268.19,East Liberty,11622484,0
380 Lamarido St,Pittsburgh,PA,15226,40.400082,-80.01511,SingleFamily,2015,95700,1935,3000,1485,2,3,6,6/2/10,61,113900,105975,6136,99616,112334,71.36,1131,31,848,1414,0.76,93.7,Brookline,11562065,0
1806 Wharton St,Pittsburgh,PA,15203,40.430297,-79.980018,SingleFamily,2015,154200,1890,2400,1232,2,2,6,12/4/06,103,149000,218318,5321,192120,237967,177.21,1709,14,1316,2153,1.39,127.75,Southside Flats,11290680,0
